API명칭,API ID,EPIC,METHOD,SUB-EPIC,URL,개발 상황,권한,사람,설명,작성완료
강의 영상 재생 정보 조회,,영상학습/진도,GET,영상재생,/api/learning/videos/{videoId}/play,연동 필요,"수강생, 회원",이태연,사용자의 수강/구독 권한을 검증한 뒤 영상 재생 메타데이터 또는 접근 URL을 반환,Yes
공지사항 삭제,,공지/알림,DELETE,공지사항,/api/notices/{noticeId},연동 필요,"강사, 관리자",강현 유,작성자 본인의 공지 삭제,Yes
게시글 상세 조회,,커뮤니티,GET,게시글,/api/posts/{postId},연동 필요,회원,강현 유,상세 내용 조회 및 어뷰징 방지 조회수 증가,Yes
수강량 랭킹 조회,,랭킹,GET,수강량,/api/rankings/lessons?period={daily|weekly|monthly},연동 필요,회원,이태연,기간별 수강량 랭킹 조회,Yes
마지막 재생 위치 저장,,영상학습/진도,PATCH,진도관리,/api/learning/videos/{videoId}/progress/position,연동 필요,"수강생, 회원",이태연,마지막 재생 위치를 초 단위로 저장,Yes
강의 접근 권한 확인,,수강신청,GET,수강신청,/api/enrollments/{enrollmentId}/access,연동 필요,,종준 박,수강 중인 강의 콘텐츠 접근 권한 확인 (만료 여부 포함),Yes
이어보기 정보 조회,,영상학습/진도,GET,진도관리,/api/learning/videos/{videoId}/progress/position,연동 필요,"수강생, 회원",이태연,마지막 시청 위치를 조회하여 이어보기 위치 제공,Yes
게시글 수정,,커뮤니티,PATCH,게시글,/api/posts/{postId},연동 필요,회원,강현 유,본인 댓글 수정(채택글 수정 불가),Yes
댓글 채택 수 랭킹 조회,,랭킹,GET,채택,/api/rankings/accepted-comments?period={daily|weekly|monthly},연동 필요,회원,이태연,댓글 채택 수 기준 랭킹 조회,Yes
내 수강 목록 조회,,수강신청,GET,수강신청,/api/enrollments/me,연동 필요,회원,종준 박,"본인 수강 목록 조회 (진행률, 만료일 포함)",Yes
게시글 삭제,,커뮤니티,DELETE,게시글,/api/posts/{postId},연동 필요,회원,강현 유,본인 글 삭제(채택글+ 채택 댓글 삭제 불가),Yes
내 구독 조회,,결제/주문/구독,GET,구독,/api/subscriptions/me,연동 필요,회원,종준 박,"현재 구독 정보 조회 (플랜명, 시작일, 만료일, 결제 내역)",Yes
댓글/대댓글 작성,,커뮤니티,POST,댓글,/api/comments,연동 필요,회원,강현 유,게시글에 댓글 작성(대댓글 1단계 제한),Yes
내 랭킹 정보 조회,,랭킹,GET,내 순위,/api/rankings/me?period={daily|weekly|monthly},연동 필요,회원,이태연,"본인의 현재 랭킹, 전체 사용자 수, 상위 퍼센트 조회",Yes
구독 플랜 목록 조회,,결제/주문/구독,GET,구독,/api/subscription-plans,연동 필요,비회원,종준 박,"이용 가능한 구독 플랜 목록 조회 (가격, 기간, 혜택 포함)",Yes
장바구니 조회,,결제/주문/구독,GET,장바구니,/api/cart,연동 필요,회원,종준 박,본인 장바구니 목록 조회,Yes
구독 신청,,결제/주문/구독,POST,구독,/api/subscriptions,연동 필요,회원,종준 박,구독 플랜 신청 및 결제 처리 (중복 구독 예외처리 포함),Yes
본인 리뷰 수정,,커뮤니티,PATCH,리뷰,/api/courses/{courseId}/reviews/{reviewId},연동 필요,수강생,강현 유,본인 리뷰/별점 수정 및 평균 별점 재계산,Yes
강사 내 강의 목록 조회,,강의,GET,강의,/api/instructor/courses,연동 필요,강사,종준 박,"강사 대시보드 - 본인이 등록한 강의 목록 + 통계 조회 (평균 별점, 수강생 수, 리뷰 수, 등록일)",Yes
연간 잔디 조회,,학습 잔디,GET,잔디 조회,/api/grass/yearly?year={year},연동 필요,"수강생, 회원",이태연,특정 연도의 52주 기준 잔디 데이터 조회,Yes
과목 목록 조회,,강의,POST,과목,/api/subjects,연동 필요,비회원,종준 박,전체 과목 목록 조회 (강의 필터링 및 등록 시 subjectId 유효성 검증 용도),Yes
스터디 상세 조회,,스터디,GET,모집글,/api/study/{groupId},연동 필요,회원,강현 유,상세 정보 및 참여 버튼 상태(마감여부) 조회,Yes
실행 중 세션 조회,,순공시간,GET,타이머,/api/study-timers/sessions/current,연동 필요,"수강생, 회원",이태연,현재 실행 중인 순공시간 세션 조회,Yes
알림 읽음 처리,,공지/알림,PATCH,알림,/api/notifications/{notiId}/read,연동 필요,회원,강현 유,특정 알림 클릭 시 읽음 상태로 변경,Yes
영상 시청 시간 저장,,영상학습/진도,PATCH,진도관리,/api/learning/videos/{videoId}/progress/watch-time,연동 필요,"수강생, 회원",이태연,실제 시청 시간을 누적 저장,Yes
알림 목록 조회,,공지/알림,GET,알림,/api/notifications,연동 필요,회원,강현 유,본인 수신 알림 최신순 조회,Yes
모집글 수정,,스터디,PATCH,모집글,/api/study/{groupId},연동 필요,회원,강현 유,방장의 스터디 정보 수정,Yes
영상 완료 처리,,영상학습/진도,PATCH,진도관리,/api/learning/videos/{videoId}/progress/complete,연동 필요,"수강생, 회원",이태연,시청 비율 90% 이상일 때 완료 상태로 반영,Yes
댓글 목록 조회,,커뮤니티,GET,댓글,/api/posts/{postId}/comments,연동 필요,회원,강현 유,특정 게시글의 부모-자식 댓글 조회(채택 최상단),Yes
댓글 수정,,커뮤니티,PATCH,댓글,/api/comments/{commentId},연동 필요,회원,강현 유,본인 댓글 수정(채택된 댓글 수정 불가),Yes
스터디 해산,,스터디,DELETE,모집글,/api/study/{groupId},연동 필요,회원,강현 유,방장의 스터디 삭제 및 멤버 해산 알림,Yes
결제 내역 조회,,결제/주문/구독,GET,결제,/api/payments/me,연동 필요,회원,종준 박,본인 전체 결제 내역 조회,Yes
본인 리뷰 삭제,,커뮤니티,DELETE,리뷰,/api/courses/{courseId}/reviews/{reviewId},연동 필요,수강생,강현 유,본인 리뷰 삭제 및 병균 별점 재계산,Yes
스터디 참여 신청,,스터디,POST,멤버,/api/study/{groupId}/join,연동 필요,회원,강현 유,동시성 제어 적용 정원 내 회원 참여 및 채팅방 입장,Yes
"환불 신청  ",,수강신청,POST,환불,/api/enrollments/{enrollmentId}/refund,연동 필요,회원,종준 박,환불 정책 내 환불 신청 접수 (관리자 처리 연동),Yes
미확인 알림 개수,,공지/알림,GET,알림,/api/notifications/unread-count,연동 필요,회원,강현 유,헤더 배지용 읽지 않은 알림 개수 반환,Yes
,,,,,,,,,,No
스터디 나가기,,스터디,DELETE,멤버,/api/study/{groupId}/leave,연동 필요,회원,강현 유,참여 중인 스터디 퇴장 및 회원 인원 차감,Yes
,,,,,,,,,,No
,,,,,,,,,,No
,,,,,,,,,,No
,,,,,,,,,,No
,,,,,,,,,,No
신고 접수,,신고,POST,콘텐츠,/api/reports,연동 필요,회원,강현 유,타인 콘텐츠 복수 사유 신고(5명 누적 체크),Yes
